unique_id,beschrijvende_id,volledige_naam,Ident_8,lve_nr,Kmp_Rsys,Rijstrook,X_EPSG_31370,Y_EPSG_31370,Lon_EPSG_4326,Lat_EPSG_4326
3640,H291L10,Parking Kruibeke,A0140002,437,94.695,R10,144477.917,208290.6237,4.289767347,51.18458196
3638,H292L20,Parking Kruibeke,A0140001,437,94.692,R11,144484.3047,208274.7673,4.289870748,51.1844395
3639,H292L30,Parking Kruibeke,A0140001,437,94.692,R12,144484.3047,208274.7673,4.289870748,51.1844395
2304,H202L10,Snede noordzijde sleuf Boom,N1770002,168,10.268,R10,150233.1199,200546.9427,4.372084942,51.11500275
2303,H208L10,Snede noordzijde sleuf Boom,A0121311,168,0,R10,150226.4523,200546.5205,4.371989722,51.11499895
2302,H201L20,Snede noordzijde sleuf Boom,N1770001,168,10.284,R11,150196.3961,200582.3681,4.371560518,51.11532119
2301,H201L10,Snede noordzijde sleuf Boom,N1770001,168,10.284,R10,150196.3961,200582.3681,4.371560518,51.11532119
2300,H205L10,Snede noordzijde sleuf Boom,A0121361,168,0.278,R10,150204.2589,200580.6355,4.371672805,51.11530561
3630,H292L30,Halve snede kmpt. 95.7,A0140001,492,96.711,R12,146021.6375,209579.7963,4.311843693,51.19618225
3631,H292L10,Halve snede kmpt. 96.2,A0140001,491,96.172,R10,145631.9975,209207.4661,4.306274056,51.19283278
3632,H292L20,Halve snede kmpt. 96.2,A0140001,491,96.172,R11,145631.9975,209207.4661,4.306274056,51.19283278
3633,H292L30,Halve snede kmpt. 96.2,A0140001,491,96.172,R12,145631.9975,209207.4661,4.306274056,51.19283278
3634,H292L10,Halve snede kmpt. 96.7,A0140001,490,95.691,R10,145275.775,208884.2887,4.3011726,51.18992513
2309,H221L20,Snede Everberg - Sterrebeek 1,A0030002,243,12.106,R11,163125.2435,173207.7787,4.555211104,50.8690987
3635,H292L20,Halve snede kmpt. 96.7,A0140001,490,95.691,R11,145275.775,208884.2887,4.3011726,51.18992513
2308,H221L10,Snede Everberg - Sterrebeek 1,A0030002,243,12.106,R10,163125.2435,173207.7787,4.555211104,50.8690987
3636,H292L30,Halve snede kmpt. 96.7,A0140001,490,95.691,R12,145275.775,208884.2887,4.3011726,51.18992513
3637,H292L10,Parking Kruibeke,A0140001,437,94.692,R10,144484.3047,208274.7673,4.289870748,51.1844395
3650,H205L10,Knooppunt Groot-Bijgaarden Noord,R0003201,415,0.16,R11,143602.2845,174162.1383,4.277848926,50.87779238
3651,H208L10,Knooppunt St-Stevens-Woluwe West,R0001851,252,0.22,R10,156745.4051,173051.1943,4.464575596,50.86780062
2320,S291L10,grens - Zandvliet - Antwerpsebaan,A0125001,127,0,R10,146328.3989,228462.7567,4.316042806,51.36590745
2317,H181L10,grens - Zandvliet - Antwerpsebaan,A0125011,127,0.136,R10,146588.267,228484.1877,4.319770325,51.36610164
3649,H207L20,Knooppunt Groot-Bijgaarden Noord,R0003201,415,0.16,R10,143602.2845,174162.1383,4.277848926,50.87779238
2316,H192L20,grens - Zandvliet - Antwerpsebaan,A0120001,127,52.331,R11,146663.6945,228429.4305,4.320857262,51.36560993
2315,H192L10,grens - Zandvliet - Antwerpsebaan,A0120001,127,52.331,R10,146663.6945,228429.4305,4.320857262,51.36560993
2314,H222L30,Snede Everberg - Sterrebeek 1,A0030001,243,12.109,R12,163124.6251,173188.6511,4.555201634,50.86892677
2313,H222L20,Snede Everberg - Sterrebeek 1,A0030001,243,12.109,R11,163124.6251,173188.6511,4.555201634,50.86892677
2312,H222L10,Snede Everberg - Sterrebeek 1,A0030001,243,12.109,R10,163124.6251,173188.6511,4.555201634,50.86892677
2311,H221L40,Snede Everberg - Sterrebeek 1,A0030002,243,12.106,R13,163125.2435,173207.7787,4.555211104,50.8690987
2310,H221L30,Snede Everberg - Sterrebeek 1,A0030002,243,12.106,R12,163125.2435,173207.7787,4.555211104,50.8690987
3641,H291L20,Parking Kruibeke,A0140002,437,94.695,R11,144477.917,208290.6237,4.289767347,51.18458196
3642,H291L30,Parking Kruibeke,A0140002,437,94.695,R12,144477.917,208290.6237,4.289767347,51.18458196
3643,H206L10,Parking Kruibeke,A0149411,437,94.798,R10,144581.8183,208317.9861,4.291264756,51.18482888
3644,S208L10,Parking Kruibeke,A0149411,437,94.417,R10,144252.623,208098.1497,4.286551969,51.18284972
3645,S205L10,Parking Kruibeke,A0149402,437,94.488,R10,144297.1241,208192.4751,4.287194956,51.18369801
3646,S171L10,Parking Kruibeke,A0149402,437,94.904,W09,144644.413,208419.8747,4.292153193,51.18574529
2319,H106L10,grens - Zandvliet - Antwerpsebaan,A0122851,127,0.243,R10,146494.9849,228521.8337,4.318434069,51.36643945
3647,S107L10,Parking Kruibeke,A0149402,437,94.904,R10,144644.413,208419.8747,4.292153193,51.18574529
2318,H108L10,grens - Zandvliet - Antwerpsebaan,A0122811,127,0.3,R10,146601.2327,228490.1523,4.319959881,51.36615533
3648,H207L10,Knooppunt Groot-Bijgaarden Noord,R0005041,415,0.814,R10,143612.2023,174156.7059,4.277989939,50.87774365
3660,H292L20,Complex nr 17 Zwijndrecht Oost,A0140001,189,99.175,R11,147962.8215,211082.1067,4.339605446,51.20969565
3661,H292L30,Complex nr 17 Zwijndrecht Oost,A0140001,189,99.175,R12,147962.8215,211082.1067,4.339605446,51.20969565
3662,H292L40,Complex nr 17 Zwijndrecht Oost,A0140001,189,99.175,R13,147962.8215,211082.1067,4.339605446,51.20969565
1000,H108L10,complex Heusden (4),R0040511,122,0.197,R10,110911.8819,194589.6797,3.811192692,51.6013795
2331,S208L10,Complex Zoersel,A0210711,284,0.74,R10,173290.8279,214849.2303,4.7022857,51.24308729
2330,S292L20,Complex Zoersel,A0210001,284,20.202,R11,173386.2537,214903.3217,4.703655694,51.24356961
2328,H105L10,Complex Zoersel,A0210761,284,0.544,R10,172843.1267,214907.7317,4.695878336,51.24363105
2327,H105L0,Complex Zoersel,A0210761,284,0.544,B09,172843.1267,214907.7317,4.695878336,51.24363105
2326,H107L10,Complex Zoersel,A0210721,284,0.87,R10,173059.7199,214954.5147,4.698982963,51.24404291
2325,H191L20,Complex Zoersel,A0210002,284,19.743,R11,172926.413,214887.4081,4.697064394,51.24344508
2324,H191L10,Complex Zoersel,A0210002,284,19.743,R10,172926.413,214887.4081,4.697064394,51.24344508
2323,S207L10,grens - Zandvliet - Antwerpsebaan,A0122821,127,0.109,R10,146372.6479,228437.6279,4.31667838,51.36568188
2322,S205L10,grens - Zandvliet - Antwerpsebaan,A0120002,127,52.754,R11,146218.7915,228502.9371,4.314468654,51.36626788
2321,S291L20,grens - Zandvliet - Antwerpsebaan,A0120002,127,52.754,R10,146218.7915,228502.9371,4.314468654,51.36626788
3652,H208L20,Knooppunt St-Stevens-Woluwe West,R0001851,252,0.22,R11,156745.4051,173051.1943,4.464575596,50.86780062
3653,S107L20,complex nr 17 Herent,A0021721,225,0.45,R10,172302.9819,175913.8323,4.685754384,50.89314399
3654,S192L10,complex Kruibeke (16),A0140001,116,97.595,R10,146663.2377,210188.3199,4.321016713,51.20165595
3655,S192L20,complex Kruibeke (16),A0140001,116,97.595,R11,146663.2377,210188.3199,4.321016713,51.20165595
3656,S192L30,complex Kruibeke (16),A0140001,116,97.595,R12,146663.2377,210188.3199,4.321016713,51.20165595
3657,H108L10,complex Houthalen-Helchteren,A0020511,54,0.8,R10,220874.6219,189663.6135,5.378727651,51.1283493
3658,H106L20,complex Houthalen-Helchteren,A0020551,54,0.198,R10,220719.3067,189668.993,5.376515528,51.1289424
2329,S292L10,Complex Zoersel,A0210001,284,20.202,R10,173386.2537,214903.3217,4.703655694,51.24356961
3659,H292L10,Complex nr 17 Zwijndrecht Oost,A0140001,189,99.175,R10,147962.8215,211082.1067,4.339605446,51.20969565
3670,S222L20,Snede Oud Heverlee 3,A0030001,237,19.818,R11,170595.3979,171369.7783,4.661229045,50.85235893
3671,S222L30,Snede Oud Heverlee 3,A0030001,237,19.818,R12,170595.3979,171369.7783,4.661229045,50.85235893
3672,S207L10,Snede Oud Heverlee 3,A0039402,237,19.841,R10,170631.8931,171390.5561,4.661748479,50.85254442
3673,S202L10,Snede Oud Heverlee 3,A0035031,237,1.941,R10,170444.8379,171404.6929,4.659092896,50.85267812
1011,S106L10,complex Laarne (5),R0040751,123,0.238,R10,111692.1307,191442.6231,3.822651692,51.3190201
2342,H192L10,E313 Spitsstrook kmpt. 0,4,R0010411,365,1.3,S09,155874.9125,211775.6141,4.452837543,51.21590223
1010,S108L10,complex Laarne (5),R0040711,123,0.137,R10,111772.5953,191446.7535,3.823798293,51.3194444
2341,H192L00,E313 Spitsstrook kmpt. 0,4,R0010411,365,1.3,R08,155874.9125,211775.6141,4.452837543,51.21590223
2340,H207L20,complex nr 9 Oostkamp,A0101921,148,0.59,R11,71751.7241,204025.5171,3.250640432,51.14098126
1008,S192L10,complex Laarne (5),R0040001,123,23.642,R10,111825.3777,191429.3589,3.824552529,51.3179156
1007,H205L10,complex Laarne (5),R0040761,123,0.202,R10,112014.9903,191772.5701,3.827219835,51.3488905
1006,H207L10,complex Laarne (5),R0040721,123,0.11,R10,111929.9363,191753.7257,3.826009264,51.3471409
1005,H291L20,complex Laarne (5),R0040002,123,23.299,R11,111894.7565,191764.8461,3.825506583,51.3481174
1004,H291L10,complex Laarne (5),R0040002,123,23.299,R10,111894.7565,191764.8461,3.825506583,51.3481174
1003,S205L10,complex Heusden (4),R0040561,122,0.345,R10,111166.4823,194715.9953,3.814810813,51.6129046
1002,S207L10,complex Heusden (4),R0040521,122,0.175,R10,111161.627,194706.3289,3.814734535,51.6120321
1001,H106L20,complex Heusden (4),R0040551,122,0.256,R10,110919.3637,194581.93,3.811300338,51.6006051
2332,S206L10,Complex Zoersel,A0210751,284,0.57,R10,173504.253,214883.3281,4.705340894,51.2433851
3663,H222L10,Snede Oud Heverlee 3,A0030001,237,19.621,R10,170412.1675,171442.615,4.658631019,50.8530152
3664,H222L20,Snede Oud Heverlee 3,A0030001,237,19.621,R11,170412.1675,171442.615,4.658631019,50.8530152
3665,H222L30,Snede Oud Heverlee 3,A0030001,237,19.621,R12,170412.1675,171442.615,4.658631019,50.8530152
3666,S208L10,Snede Oud Heverlee 3,A0039411,237,19.493,R10,170232.9577,171463.5353,4.656087218,50.85321451
3667,S206L10,Snede Oud Heverlee 3,A0039411,237,19.826,R10,170593.1567,171346.4509,4.661195911,50.85214932
3668,S206L20,Snede Oud Heverlee 3,A0035031,237,3,R10,170593.7835,171352.1469,4.661205131,50.8522005
3669,S222L10,Snede Oud Heverlee 3,A0030001,237,19.818,R10,170595.3979,171369.7783,4.661229045,50.85235893
